"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"677"	"NC_035780.1"	346073	346073	"-"	2.65891807097628e-24	3.40302500720729e-22	50.9433962264151
"2364"	"NC_035780.1"	990997	990997	"-"	2.73123656004351e-29	5.78142546344726e-27	-51.0432735243972
"2834"	"NC_035780.1"	1959000	1959000	"-"	3.96271205452511e-85	3.47410765683244e-81	53.4490793876032
"3329"	"NC_035780.1"	2541728	2541728	"-"	1.177598765139e-26	1.90890645790541e-24	-58.8744588744589
"3698"	"NC_035780.1"	2584493	2584493	"+"	6.34775642021711e-56	1.16518785902912e-52	56.3020163020163
"3727"	"NC_035780.1"	2586510	2586510	"-"	1.06022408331626e-35	3.98356250732854e-33	-57.98356982823
"3739"	"NC_035780.1"	2588795	2588795	"+"	1.41283255261052e-74	7.25051464578641e-71	-51.2614178320265
"3740"	"NC_035780.1"	2588796	2588796	"-"	2.11840670890733e-43	1.55306432763485e-40	-57.9030501089325
"3750"	"NC_035780.1"	2589722	2589722	"-"	2.91579249291507e-14	1.09378804318039e-12	50.6792058516196
"4576"	"NC_035780.1"	4286287	4286287	"+"	1.76118305607434e-82	1.27781652064054e-78	54.7282429786718
"4585"	"NC_035780.1"	4288214	4288214	"+"	2.52553015028671e-25	3.56399357301582e-23	-56.6046779141104
"7788"	"NC_035780.1"	15389759	15389759	"-"	1.34060893726466e-25	1.94400194882102e-23	-50.4558139534884
"8149"	"NC_035780.1"	15534532	15534532	"+"	1.4220631254385e-56	2.8496503402474e-53	54.8969900132691
"9283"	"NC_035780.1"	17500582	17500582	"+"	2.23469863748871e-57	4.60978627494277e-54	-52.658998082854
"10727"	"NC_035780.1"	19482570	19482570	"-"	1.50089839684763e-53	2.28841194171622e-50	73.0466780925497
"13384"	"NC_035780.1"	21941412	21941412	"-"	6.15168044495968e-77	3.49827576595903e-73	-65.3010658117476
"14277"	"NC_035780.1"	23288707	23288707	"+"	1.03653051288755e-25	1.51982011509117e-23	50.7761115495922
"15236"	"NC_035780.1"	24245856	24245856	"-"	5.94567407558853e-30	1.34085388018078e-27	-55.1190476190476
"16189"	"NC_035780.1"	25201661	25201661	"-"	5.67339226187061e-36	2.19839121795904e-33	59.2406476828588
"16404"	"NC_035780.1"	25437703	25437703	"+"	1.5379429448012e-41	9.74684676844591e-39	-53.0641025641026
"16504"	"NC_035780.1"	25858299	25858299	"-"	1.1893477582355e-26	1.92498568424192e-24	-50.8922443376802
"18541"	"NC_035780.1"	26637856	26637856	"-"	1.11086954687867e-64	3.71009055506022e-61	-54.5083533048522
"19466"	"NC_035780.1"	27396184	27396184	"-"	4.15635441567332e-28	7.87155460029215e-26	52.7398259347498
"20393"	"NC_035780.1"	28493521	28493521	"-"	1.02306929078933e-27	1.84932851656359e-25	-53.8382694071317
"20625"	"NC_035780.1"	28739458	28739458	"+"	4.33930426365181e-48	4.20748297479343e-45	59.6138804880592
"20629"	"NC_035780.1"	28739473	28739473	"+"	3.45868779447282e-59	7.82510927123176e-56	73.7653742898171
"20630"	"NC_035780.1"	28739474	28739474	"-"	8.60058173599881e-50	9.78178464547721e-47	64.4774436090226
"22477"	"NC_035780.1"	31303160	31303160	"+"	9.36081287520605e-28	1.69938635099428e-25	-52.4620641141594
"22482"	"NC_035780.1"	31303208	31303208	"+"	8.21726245550947e-42	5.35286923438707e-39	-57.4547583380684
"23488"	"NC_035780.1"	32447268	32447268	"+"	1.31552692293838e-27	2.34216811043732e-25	58.9722785665991
"23680"	"NC_035780.1"	32698174	32698174	"+"	4.77250063096667e-28	8.97383140550055e-26	51.1935100237853
"23757"	"NC_035780.1"	32704774	32704774	"+"	6.07955256849786e-18	3.75127788831975e-16	54.4593468212472
"23794"	"NC_035780.1"	32717031	32717031	"+"	4.91037109202477e-28	9.22482826369867e-26	-54.0717948717949
"23935"	"NC_035780.1"	32781382	32781382	"+"	4.72545280750999e-33	1.39645014261293e-30	51.8439716312057
"23936"	"NC_035780.1"	32781383	32781383	"-"	4.39693645252675e-27	7.44887336667676e-25	50.0320988200917
"24023"	"NC_035780.1"	32787978	32787978	"-"	1.1049498189657e-40	6.5675182930967e-38	-57.1638690503268
"24580"	"NC_035780.1"	33209728	33209728	"-"	1.496175921551e-22	1.55845149478735e-20	57.9055141143777
"26267"	"NC_035780.1"	38085932	38085932	"+"	7.66489012409338e-25	1.03249249177506e-22	51.1301004058962
"26769"	"NC_035780.1"	39872842	39872842	"+"	4.81685458048369e-55	8.17342060249397e-52	51.9977266268826
"26770"	"NC_035780.1"	39872843	39872843	"-"	2.47330636642827e-31	6.31557216204768e-29	52.9551150603782
"26841"	"NC_035780.1"	39890298	39890298	"+"	5.83012676076821e-27	9.75122897295459e-25	52.496849180787
